t_id,subtipo,tipo
Apple 1.png,Apple A,Apple
Apple 10.png,Apple A,Apple
Apple 100.png,Apple A,Apple
Apple 101.png,Apple A,Apple
Apple 102.png,Apple A,Apple
Apple 103.png,Apple A,Apple
Apple 104.png,Apple A,Apple
Apple 105.png,Apple A,Apple
Apple 106.png,Apple A,Apple
Apple 107.png,Apple A,Apple
Apple 108.png,Apple A,Apple
Apple 109.png,Apple A,Apple
Apple 11.png,Apple A,Apple
Apple 110.png,Apple A,Apple
Apple 111.png,Apple A,Apple
Apple 112.png,Apple A,Apple
Apple 113.png,Apple A,Apple
Apple 114.png,Apple A,Apple
Apple 115.png,Apple A,Apple
Apple 116.png,Apple A,Apple
Apple 117.png,Apple A,Apple
Apple 118.png,Apple A,Apple
Apple 119.png,Apple A,Apple
Apple 12.png,Apple A,Apple
Apple 120.png,Apple A,Apple
Apple 121.png,Apple A,Apple
Apple 122.png,Apple A,Apple
Apple 123.png,Apple A,Apple
Apple 124.png,Apple A,Apple
Apple 125.png,Apple A,Apple
Apple 126.png,Apple A,Apple
Apple 127.png,Apple A,Apple
Apple 128.png,Apple A,Apple
Apple 129.png,Apple A,Apple
Apple 13.png,Apple A,Apple
Apple 130.png,Apple A,Apple
Apple 131.png,Apple A,Apple
Apple 132.png,Apple A,Apple
Apple 133.png,Apple A,Apple
Apple 134.png,Apple A,Apple
Apple 135.png,Apple A,Apple
Apple 136.png,Apple A,Apple
Apple 137.png,Apple A,Apple
Apple 138.png,Apple A,Apple
Apple 139.png,Apple A,Apple
Apple 14.png,Apple A,Apple
Apple 140.png,Apple A,Apple
Apple 141.png,Apple A,Apple
Apple 142.png,Apple A,Apple
Apple 143.png,Apple A,Apple
Apple 144.png,Apple A,Apple
Apple 145.png,Apple A,Apple
Apple 146.png,Apple A,Apple
Apple 147.png,Apple A,Apple
Apple 148.png,Apple A,Apple
Apple 149.png,Apple A,Apple
Apple 15.png,Apple A,Apple
Apple 150.png,Apple A,Apple
Apple 151.png,Apple A,Apple
Apple 152.png,Apple A,Apple
Apple 153.png,Apple A,Apple
Apple 154.png,Apple A,Apple
Apple 155.png,Apple A,Apple
Apple 156.png,Apple A,Apple
Apple 157.png,Apple A,Apple
Apple 158.png,Apple A,Apple
Apple 159.png,Apple A,Apple
Apple 16.png,Apple A,Apple
Apple 160.png,Apple A,Apple
Apple 161.png,Apple A,Apple
Apple 162.png,Apple A,Apple
Apple 163.png,Apple A,Apple
Apple 164.png,Apple A,Apple
Apple 165.png,Apple A,Apple
Apple 166.png,Apple A,Apple
Apple 167.png,Apple A,Apple
Apple 168.png,Apple A,Apple
Apple 169.png,Apple A,Apple
Apple 17.png,Apple A,Apple
Apple 170.png,Apple A,Apple
Apple 171.png,Apple A,Apple
Apple 172.png,Apple A,Apple
Apple 173.png,Apple A,Apple
Apple 174.png,Apple A,Apple
Apple 175.png,Apple A,Apple
Apple 176.png,Apple A,Apple
Apple 177.png,Apple A,Apple
Apple 178.png,Apple A,Apple
Apple 179.png,Apple A,Apple
Apple 18.png,Apple A,Apple
Apple 180.png,Apple A,Apple
Apple 181.png,Apple A,Apple
Apple 182.png,Apple A,Apple
Apple 183.png,Apple A,Apple
Apple 184.png,Apple A,Apple
Apple 185.png,Apple A,Apple
Apple 186.png,Apple A,Apple
Apple 187.png,Apple A,Apple
Apple 188.png,Apple A,Apple
Apple 189.png,Apple A,Apple
Apple 19.png,Apple A,Apple
Apple 190.png,Apple A,Apple
Apple 191.png,Apple A,Apple
Apple 192.png,Apple A,Apple
Apple 193.png,Apple A,Apple
Apple 194.png,Apple A,Apple
Apple 195.png,Apple A,Apple
Apple 196.png,Apple A,Apple
Apple 197.png,Apple A,Apple
Apple 198.png,Apple A,Apple
Apple 199.png,Apple A,Apple
Apple 2.png,Apple A,Apple
Apple 20.png,Apple A,Apple
Apple 200.png,Apple A,Apple
Apple 201.png,Apple A,Apple
Apple 202.png,Apple A,Apple
Apple 203.png,Apple A,Apple
Apple 204.png,Apple A,Apple
Apple 205.png,Apple A,Apple
Apple 206.png,Apple A,Apple
Apple 207.png,Apple A,Apple
Apple 208.png,Apple A,Apple
Apple 209.png,Apple A,Apple
Apple 21.png,Apple A,Apple
Apple 210.png,Apple A,Apple
Apple 211.png,Apple A,Apple
Apple 212.png,Apple A,Apple
Apple 213.png,Apple A,Apple
Apple 214.png,Apple A,Apple
Apple 215.png,Apple A,Apple
Apple 216.png,Apple A,Apple
Apple 217.png,Apple A,Apple
Apple 218.png,Apple A,Apple
Apple 219.png,Apple A,Apple
Apple 22.png,Apple A,Apple
Apple 220.png,Apple A,Apple
Apple 221.png,Apple A,Apple
Apple 222.png,Apple A,Apple
Apple 223.png,Apple A,Apple
Apple 224.png,Apple A,Apple
Apple 225.png,Apple A,Apple
Apple 226.png,Apple A,Apple
Apple 227.png,Apple A,Apple
Apple 228.png,Apple A,Apple
Apple 229.png,Apple A,Apple
Apple 23.png,Apple A,Apple
Apple 230.png,Apple A,Apple
Apple 231.png,Apple A,Apple
Apple 232.png,Apple A,Apple
Apple 233.png,Apple A,Apple
Apple 234.png,Apple A,Apple
Apple 235.png,Apple A,Apple
Apple 236.png,Apple A,Apple
Apple 237.png,Apple A,Apple
Apple 238.png,Apple A,Apple
Apple 239.png,Apple A,Apple
Apple 24.png,Apple A,Apple
Apple 240.png,Apple A,Apple
Apple 241.png,Apple A,Apple
Apple 242.png,Apple A,Apple
Apple 243.png,Apple A,Apple
Apple 244.png,Apple A,Apple
Apple 245.png,Apple A,Apple
Apple 246.png,Apple A,Apple
Apple 247.png,Apple A,Apple
Apple 248.png,Apple A,Apple
Apple 249.png,Apple A,Apple
Apple 25.png,Apple A,Apple
Apple 250.png,Apple A,Apple
Apple 251.png,Apple A,Apple
Apple 252.png,Apple A,Apple
Apple 253.png,Apple A,Apple
Apple 254.png,Apple A,Apple
Apple 255.png,Apple A,Apple
Apple 256.png,Apple A,Apple
Apple 257.png,Apple A,Apple
Apple 258.png,Apple A,Apple
Apple 259.png,Apple A,Apple
Apple 26.png,Apple A,Apple
Apple 260.png,Apple A,Apple
Apple 261.png,Apple A,Apple
Apple 262.png,Apple A,Apple
Apple 263.png,Apple A,Apple
Apple 264.png,Apple A,Apple
Apple 265.png,Apple A,Apple
Apple 266.png,Apple A,Apple
Apple 267.png,Apple A,Apple
Apple 268.png,Apple A,Apple
Apple 269.png,Apple A,Apple
Apple 27.png,Apple A,Apple
Apple 270.png,Apple A,Apple
Apple 271.png,Apple A,Apple
Apple 272.png,Apple A,Apple
Apple 273.png,Apple A,Apple
Apple 274.png,Apple A,Apple
Apple 275.png,Apple A,Apple
Apple 276.png,Apple A,Apple
Apple 277.png,Apple A,Apple
Apple 278.png,Apple A,Apple
Apple 279.png,Apple A,Apple
Apple 28.png,Apple A,Apple
Apple 280.png,Apple A,Apple
Apple 281.png,Apple A,Apple
Apple 282.png,Apple A,Apple
Apple 283.png,Apple A,Apple
Apple 284.png,Apple A,Apple
Apple 285.png,Apple A,Apple
Apple 286.png,Apple A,Apple
Apple 287.png,Apple A,Apple
Apple 288.png,Apple A,Apple
Apple 289.png,Apple A,Apple
Apple 29.png,Apple A,Apple
Apple 290.png,Apple A,Apple
Apple 291.png,Apple A,Apple
Apple 292.png,Apple A,Apple
