id_cliente,nombre
1,Alimentación Total
2,Alimentos Premium
3,Almacén Estrella
4,Central de Abastos Central
5,Comercial Fresco
6,CompraMaestra
7,CompraRápida
8,Cosecha Fresca
9,Delicias del Campo
10,Distribuciones del Sol
11,Distribuidora Alfa
12,Distribuidora Gourmet
13,Distribuidora Nacional
14,EcoMercado Sostenible
15,EcoTienda
16,El Bazar de la Comida
17,La Canasta Feliz
18,La Gran Cosecha
19,La Ruta del Sabor
20,La Tienda Justa
21,MaxiAlimentos
22,MaxiDescuentos
23,MegaAhorro
24,MegaCompra
25,Mercado Fresco XYZ
26,Mercado del Barrio
27,SuperAhorro Express
28,SuperEconómico
29,SuperMercado Ideal
30,SuperOfertas Plus
31,SuperValle Verde
32,Supermercados del Valle
33,Tienda Familiar
34,Tienda Selecta
