id_lote,codigo
1,B69J65V80R69K49I67U80I46V78M
2,B69J65V80R69K49J80T71
3,B69J65V80R69K49L45I79V89J80T71
4,B69J65V80R69K49L46V78M
5,B69J65V80R69K49M45I79V89J80T71
6,B69J65V80R69K49M46V78M
7,B69J65V80R69K49N45I79V89J80T71
8,B69J65V80R69K49N46V78M
9,B69J65V80R69K49O45I79V89J80T71
10,B69J65V80R69K49O46V78M
11,B69J65V80R69K49P45I79V89J80T71
12,B69J65V80R69K49P46V78M
13,B69J65V80R69K49Q45I79V89J80T71
14,B69J65V80R69K49Q46V78M
15,B69J65V80R69K49R45I79V89J80T71
16,B69J65V80R69K49R46V78M
17,B69J65V80R69K49S45I79V89J80T71
18,B69J65V80R69K49S46V78M
19,B69J65V80R69K49T45I79V89J80T71
20,B69J65V80R69K49T46V78M
21,B69J65V80R69K49U45I79V89J80T71
22,B69J65V80R69K49U46V78M
23,B69J65V80R69K50I67U80I46V78M
24,B69J65V80R69K50J80T71
25,B69J65V80R69K50L45I79V89J80T71
26,B69J65V80R69K50L46V78M
27,B69J65V80R69K50M45I79V89J80T71
28,B69J65V80R69K50M46V78M
29,B69J65V80R69K50N45I79V89J80T71
30,B69J65V80R69K50N46V78M
31,B69J65V80R69K50O45I79V89J80T71
32,B69J65V80R69K50O46V78M
33,B69J65V80R69K50P45I79V89J80T71
34,B69J65V80R69K50P46V78M
35,B69J65V80R69K50Q45I79V89J80T71
36,B69J65V80R69K50Q46V78M
37,B69J65V80R69K50R45I79V89J80T71
38,B69J65V80R69K50R46V78M
39,B69J65V80R69K50S45I79V89J80T71
40,B69J65V80R69K50S46V78M
41,B69J65V80R69K50T45I79V89J80T71
42,B69J65V80R69K50T46V78M
43,B69J65V80R69K50U45I79V89J80T71
44,B69J65V80R69K50U46V78M
45,B69J65V80R69K51I67U80I46V78M
46,B69J65V80R69K51J80T71
47,B69J65V80R69K51L45I79V89J80T71
48,B69J65V80R69K51L46V78M
49,B69J65V80R69K51M45I79V89J80T71
50,B69J65V80R69K51M46V78M
51,B69J65V80R69K51N45I79V89J80T71
52,B69J65V80R69K51N46V78M
53,B69J65V80R69K51O45I79V89J80T71
54,B69J65V80R69K51O46V78M
55,B69J65V80R69K51P45I79V89J80T71
56,B69J65V80R69K51P46V78M
57,B69J65V80R69K51Q45I79V89J80T71
58,B69J65V80R69K51Q46V78M
59,B69J65V80R69K51R45I79V89J80T71
60,B69J65V80R69K51R46V78M
61,B69J65V80R69K51S45I79V89J80T71
62,B69J65V80R69K51S46V78M
63,B69J65V80R69K51T45I79V89J80T71
64,B69J65V80R69K51T46V78M
65,B69J65V80R69K51U45I79V89J80T71
66,B69J65V80R69K51U46V78M
67,B69J65V80R69K52I67U80I46V78M
68,B69J65V80R69K52J80T71
69,B69J65V80R69K52L45I79V89J80T71
70,B69J65V80R69K52L46V78M
71,B69J65V80R69K52M45I79V89J80T71
72,B69J65V80R69K52M46V78M
73,B69J65V80R69K52N45I79V89J80T71
74,B69J65V80R69K52N46V78M
75,B69J65V80R69K52O45I79V89J80T71
76,B69J65V80R69K52O46V78M
77,B69J65V80R69K52P45I79V89J80T71
78,B69J65V80R69K52P46V78M
79,B69J65V80R69K52Q45I79V89J80T71
80,B69J65V80R69K52Q46V78M
81,B69J65V80R69K52R45I79V89J80T71
82,B69J65V80R69K52R46V78M
83,B69J65V80R69K52S45I79V89J80T71
84,B69J65V80R69K52S46V78M
85,B69J65V80R69K52T45I79V89J80T71
86,B69J65V80R69K52T46V78M
87,B69J65V80R69K52U45I79V89J80T71
88,B69J65V80R69K52U46V78M
89,B69J65V80R69K53I67U80I46V78M
