id_marca,nombre
1,AromasCelestiales
2,ArteFrutal
3,AventuraFrutal
4,BrisaFrutal
5,CosechaDivina
6,CítricosSelectos
7,DeliciaNaturaleza
8,DeliciosoEdén
9,DulceEncanto
10,DulzuraSilvestre
11,EmbrujoFrutal
12,EncantoNativo
13,ExquisitoJardín
14,ExóticoManjar
15,FantasíaDelicia
16,FiestaSabor
17,FrescoDelValle
18,FrescuraInigualable
19,FrescuraMágica
20,FrutaDulce
21,GourmetFrutas
22,JugosoAroma
23,ManjarFruity
24,MaravillaJugosa
25,PaladarDorado
26,ParaísoFrutal
27,PlacerFrutado
28,RicoBosque
29,RincónFrutas
30,SaborNativo
31,SabrosoEdén
32,SinfoníaDelicias
33,TesoroNaturaleza
34,TropicalSabor
35,VibranteSabores
