id_proveedor,nombre
1,Agricultura Inteligente TechCultivos
2,AgroEnvases Sostenibles
3,AgroQuímicos Naturales BioCultivos
4,AgroSoftware Soluciones
5,AgroSuministros del Campo
6,Agronutrientes del Futuro
7,Agrícola Solaris Energía
8,Apícola EcoMiel
9,Avícola San José
10,BioCosecha Orgánica
11,Carnes Sostenibles CampoReal
12,Cosechadoras Progresivas SA
13,Cultivos Hidropónicos Innovagro
14,EcoFungicidas Morales
15,EcoRiego Soluciones
16,Energía Renovable AgroSol
17,Fertilizantes Naturales del Valle
18,Fitosanitarios BioPro
19,Ganadería Orgánica TierraFértil
20,Herramientas Agroindustriales Gómez
21,Insecticidas Ecológicos Reyes
22,Mallas AgroProtección García
23,Maquinaria Agrícola Avanzada
24,Pecuaria Moderna Alcaraz
25,Pesca Sustentable Oceanica
26,Productos Lácteos EcoLeche
27,Reforestación Ecológica VerdeVida
28,RiegoSmart Innovación
29,Semillas Innovadoras S.A.
30,Semillero Genético BioCampo
31,Silos y Almacenes AgroVault
32,Tecnosembradoras del Sur
33,Tractores Eficientes Delgado
34,Veterinaria EcoAnimal
35,Vivero Verde Esperanza
