id,nombre
1,CompraMaestra
2,La Tienda Justa
3,Supermercados del Valle
4,Tienda Familiar
5,SuperEconómico
6,Tienda Selecta
7,MaxiDescuentos
8,Mercado del Barrio
9,Alimentación Total
10,Almacén Estrella
11,CompraRápida
12,La Ruta del Sabor
13,La Gran Cosecha
14,SuperAhorro Express
15,EcoMercado Sostenible
16,EcoTienda
17,El Bazar de la Comida
18,SuperMercado Ideal
19,Comercial Fresco
20,Distribuciones del Sol
21,Mercado Fresco XYZ
22,MegaCompra
23,SuperOfertas Plus
24,Distribuidora Gourmet
25,Distribuidora Nacional
26,Delicias del Campo
27,La Canasta Feliz
28,MaxiAlimentos
29,Central de Abastos Central
30,SuperValle Verde
31,Distribuidora Alfa
32,MegaAhorro
33,Alimentos Premium
34,Cosecha Fresca
