id,codigo
1,G80V76K49J80T71
2,G80V76K49L46V78M
3,G80V76K49L48J80T71
4,G80V76K49L49J80T71
5,G80V76K49L50J80T71
6,G80V76K49L51J80T71
7,G80V76K49L52J80T71
8,G80V76K49L53J80T71
9,G80V76K49L54J80T71
10,G80V76K49L55J80T71
11,G80V76K49L56J80T71
12,G80V76K49L57J80T71
13,G80V76K49M46V78M
14,G80V76K49M48J80T71
15,G80V76K49M49J80T71
16,G80V76K49M50J80T71
17,G80V76K49M51J80T71
18,G80V76K49M52J80T71
19,G80V76K49M53J80T71
20,G80V76K49M54J80T71
21,G80V76K49M55J80T71
22,G80V76K49M56J80T71
23,G80V76K49M57J80T71
24,G80V76K49N46V78M
25,G80V76K49N48J80T71
26,G80V76K49N49J80T71
27,G80V76K49N50J80T71
28,G80V76K49N51J80T71
29,G80V76K49N52J80T71
30,G80V76K49N53J80T71
31,G80V76K49N54J80T71
32,G80V76K49N55J80T71
33,G80V76K49N56J80T71
34,G80V76K49N57J80T71
35,G80V76K49O46V78M
36,G80V76K49O48J80T71
37,G80V76K49O49J80T71
38,G80V76K49O50J80T71
39,G80V76K49O51J80T71
40,G80V76K49O52J80T71
41,G80V76K49O53J80T71
42,G80V76K49O54J80T71
43,G80V76K49O55J80T71
44,G80V76K49O56J80T71
45,G80V76K49O57J80T71
46,G80V76K49P46V78M
47,G80V76K49P48J80T71
48,G80V76K49P49J80T71
49,G80V76K49P50J80T71
50,G80V76K49P51J80T71
51,G80V76K49P52J80T71
52,G80V76K49P53J80T71
53,G80V76K49P54J80T71
54,G80V76K49P55J80T71
55,G80V76K49P56J80T71
56,G80V76K49P57J80T71
57,G80V76K49Q46V78M
58,G80V76K49Q48J80T71
59,G80V76K49Q49J80T71
60,G80V76K49Q50J80T71
61,G80V76K49Q51J80T71
62,G80V76K49Q52J80T71
63,G80V76K49Q53J80T71
64,G80V76K49Q54J80T71
65,G80V76K49Q55J80T71
66,G80V76K49Q56J80T71
67,G80V76K49Q57J80T71
68,G80V76K49R46V78M
69,G80V76K49R48J80T71
70,G80V76K49R49J80T71
71,G80V76K49R50J80T71
72,G80V76K49R51J80T71
73,G80V76K49R52J80T71
74,G80V76K49R53J80T71
75,G80V76K49R54J80T71
76,G80V76K49R55J80T71
77,G80V76K49R56J80T71
78,G80V76K49R57J80T71
79,G80V76K49S46V78M
80,G80V76K49S48J80T71
81,G80V76K49S49J80T71
82,G80V76K49S50J80T71
83,G80V76K49S51J80T71
84,G80V76K49S52J80T71
85,G80V76K49S53J80T71
86,G80V76K49S54J80T71
87,G80V76K49S55J80T71
88,G80V76K49S56J80T71
89,G80V76K49S57J80T71
90,G80V76K49T46V78M
91,G80V76K49T48J80T71
92,G80V76K49T49J80T71
93,G80V76K49T50J80T71
94,G80V76K49T51J80T71
95,G80V76K49T52J80T71
96,G80V76K49T53J80T71
97,G80V76K49T54J80T71
98,G80V76K49T55J80T71
99,G80V76K49T56J80T71
100,G80V76K49T57J80T71
101,G80V76K49U46V78M
102,G80V76K49U48J80T71
103,G80V76K49U49J80T71
104,G80V76K49U50J80T71
105,G80V76K49U51J80T71
106,G80V76K49U52J80T71
107,G80V76K49U53J80T71
108,G80V76K49U54J80T71
109,G80V76K49U55J80T71
110,G80V76K49U56J80T71
111,G80V76K49U57J80T71
112,G80V76K50J80T71
113,G80V76K50L46V78M
114,G80V76K50L48J80T71
115,G80V76K50L49J80T71
116,G80V76K50L50J80T71
117,G80V76K50L51J80T71
118,G80V76K50L52J80T71
119,G80V76K50L53J80T71
120,G80V76K50L54J80T71
121,G80V76K50L55J80T71
122,G80V76K50L56J80T71
123,G80V76K50L57J80T71
124,G80V76K50M46V78M
125,G80V76K50M48J80T71
126,G80V76K50M49J80T71
127,G80V76K50M50J80T71
128,G80V76K50M51J80T71
129,G80V76K50M52J80T71
130,G80V76K50M53J80T71
131,G80V76K50M54J80T71
132,G80V76K50M55J80T71
133,G80V76K50M56J80T71
134,G80V76K50M57J80T71
135,G80V76K50N46V78M
136,G80V76K50N48J80T71
137,G80V76K50N49J80T71
138,G80V76K50N50J80T71
139,G80V76K50N51J80T71
140,G80V76K50N52J80T71
141,G80V76K50N53J80T71
142,G80V76K50N54J80T71
143,G80V76K50N55J80T71
144,G80V76K50N56J80T71
145,G80V76K50N57J80T71
146,G80V76K50O46V78M
147,G80V76K50O48J80T71
148,G80V76K50O49J80T71
149,G80V76K50O50J80T71
150,G80V76K50O51J80T71
151,G80V76K50O52J80T71
152,G80V76K50O53J80T71
153,G80V76K50O54J80T71
154,G80V76K50O55J80T71
155,G80V76K50O56J80T71
156,G80V76K50O57J80T71
157,G80V76K50P46V78M
158,G80V76K50P48J80T71
159,G80V76K50P49J80T71
